economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
4.599,0,217.4395,143.52,1.7483,0.1847,0.1847,fast,True
3.2584,0,306.8997,134.84,270.8552,0.0725,0.0725,slow,True
3.7839,0,264.28,519.76,280.1615,0.02,0.0785,slow,True
3.6446,0,274.3749,215.56,152.4373,0.1261,0.1261,medium,True
4.749,0,210.5689,288.6,85.2549,0.1282,0.1282,medium,True
6.8618,0,145.7337,329.52,113.8436,0.0699,0.0699,slow,True
0.0,1,134.7663,296.48,0.0,0.1409,0.1409,medium,True
13.0794,0,76.4562,326.64,50.2021,0.0664,0.0664,slow,True
0.0,1,19.1166,257.4,0.0,0.0756,0.0756,slow,True
0.0,1,158.2518,437.96,0.0,0.212,0.212,fast,True
6.0517,0,165.2431,106.92,21.8826,0.1395,0.1395,medium,True
0.0,1,188.9843,196.08,0.0,0.2178,0.2178,fast,True
4.1554,0,240.6484,443.16,95.1906,0.1408,0.1408,medium,True
0.0,1,106.8745,532.64,0.0,0.2017,0.2017,fast,True
3.9006,0,256.3721,164.08,113.2096,0.1394,0.1394,medium,True
12.9277,0,77.3536,268.8,45.6462,0.0698,0.0698,slow,True
4.3338,0,230.7434,135.44,95.1132,0.1347,0.1347,medium,True
5.3657,0,186.3696,384.2,57.428,0.1305,0.1305,medium,True
3.6943,0,270.6841,94.0,45.8284,0.1904,0.1904,fast,True
3.5613,0,280.7934,321.08,29.0028,0.2072,0.2072,fast,True
14.1545,0,70.6487,292.16,52.2551,0.0615,0.0615,slow,True
0.0,1,211.9506,136.52,0.0,0.2004,0.2004,fast,True
16.9703,0,58.9265,219.4,45.1068,0.0586,0.0586,slow,True
3.7307,0,268.047,227.96,106.8816,0.1506,0.1506,medium,True
10.5924,0,94.4069,404.24,71.5969,0.0642,0.0642,slow,True
0.0,1,105.8062,329.16,0.0,0.1439,0.1439,medium,True
28.4406,0,35.1609,258.16,8.6077,0.0666,0.0666,slow,True
39.0625,0,25.6,0.0,41.56,0.02,0.02,slow,False
0.0,1,92.2452,209.76,0.0,0.1903,0.1903,fast,True
33.1982,0,30.1222,235.76,8.6649,0.0634,0.0634,slow,True
4.8986,0,204.1407,121.8,51.4262,0.1454,0.1454,medium,True
204.918,0,4.88,0.0,20.84,0.02,0.02,slow,False
3.3962,0,294.4448,88.16,60.2099,0.1963,0.1963,fast,True
0.0,1,21.3124,183.52,0.0,0.0741,0.0741,slow,True
0.0,1,15.9244,93.28,0.0,0.062,0.062,slow,True
0.0,1,203.3248,216.88,0.0,0.2066,0.2066,fast,True
78.0778,0,12.8077,208.36,1.6086,0.057,0.057,slow,True
0.0,1,140.3576,282.56,0.0,0.1395,0.1395,medium,True
4.4021,0,227.1624,198.68,89.0307,0.1362,0.1362,medium,True
0.0,1,27.5924,198.68,0.0,0.0683,0.0683,slow,True
3.7617,0,265.834,162.84,20.8076,0.203,0.203,fast,True
0.0,1,18.6425,89.56,0.0,0.0714,0.0714,slow,True
0.0,1,190.2868,131.72,0.0,0.1971,0.1971,fast,True
0.0,1,156.3504,460.64,0.0,0.1675,0.1675,fast,True
3.4341,0,291.1939,253.56,39.552,0.2071,0.2071,fast,True
4.5447,0,220.0377,309.76,30.7946,0.1682,0.1682,fast,True
0.0,1,160.075,170.68,0.0,0.1545,0.1545,medium,True
5.4834,0,182.3684,209.28,43.6039,0.1366,0.1366,medium,True
0.0,1,122.1554,431.88,0.0,0.1506,0.1506,medium,True
17.5287,0,57.0492,97.48,27.3668,0.0685,0.0685,slow,True
