economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
3.2974,0,303.2719,88.44,149.7805,0.1458,0.1458,medium,True
0.0,1,127.8953,547.76,0.0,0.1394,0.1394,medium,True
3.5364,0,282.7723,138.96,47.3651,0.197,0.197,fast,True
3.8889,0,257.1391,129.52,105.8089,0.1445,0.1445,medium,True
2.0755,0,481.8184,183.92,351.9807,0.1311,0.1311,medium,True
9.2868,0,107.68,0.0,123.64,0.02,0.02,slow,False
5.4982,0,181.877,130.16,168.3161,0.0584,0.0584,slow,True
4.2989,0,232.6183,333.44,92.9564,0.1372,0.1372,medium,True
3.162,0,316.2585,126.52,104.456,0.1823,0.1823,fast,True
9.2456,0,108.1601,349.2,73.0214,0.0719,0.0719,slow,True
8.1971,0,121.9947,508.04,80.7536,0.0757,0.0757,slow,True
0.0,1,141.2194,126.76,0.0,0.1989,0.1989,fast,True
5.3586,0,186.6162,488.68,30.4088,0.1475,0.1475,medium,True
9.0738,0,110.2075,173.88,95.4748,0.0592,0.0592,slow,True
9.8104,0,101.933,145.32,72.1147,0.0686,0.0686,slow,True
4.067,0,245.88,0.0,261.84,0.02,0.02,slow,False
2.6672,0,374.9285,86.6,347.3888,0.0672,0.0672,slow,True
10.3691,0,96.44,0.0,112.4,0.02,0.02,slow,False
0.0,1,212.3983,278.64,0.0,0.191,0.191,fast,True
9.6262,0,103.8833,193.32,86.0234,0.0611,0.0611,slow,True
5.9045,0,169.3635,226.88,19.4016,0.1436,0.1436,medium,True
4.2746,0,233.9411,360.48,205.6157,0.0677,0.0677,slow,True
20.7642,0,48.1598,383.76,30.2371,0.0612,0.0612,slow,True
5.6195,0,177.9514,402.92,155.4457,0.064,0.064,slow,True
8.4876,0,117.8186,401.4,83.5452,0.0714,0.0714,slow,True
0.0,1,115.25,318.8,0.0,0.1475,0.1475,medium,True
3.6851,0,271.3632,165.48,19.0069,0.2076,0.2076,fast,True
9.8542,0,101.4798,289.36,109.7128,0.0448,0.0448,slow,True
10.1973,0,98.0654,92.68,80.6927,0.0608,0.0608,slow,True
9.325,0,107.2381,400.64,87.7049,0.0622,0.0622,slow,True
14.0519,0,71.1647,169.48,21.3967,0.0811,0.0811,slow,True
17.1441,0,58.3292,161.52,36.3888,0.0637,0.0637,slow,True
0.0,1,175.9513,232.0,0.0,0.1789,0.1789,fast,True
2.5788,0,387.7736,113.32,250.361,0.1358,0.1358,medium,True
6.729,0,148.6098,340.92,9.2384,0.137,0.137,medium,True
5.9247,0,168.7852,122.24,29.0128,0.1373,0.1373,medium,True
32.3508,0,30.9112,262.16,10.1426,0.0629,0.0629,slow,True
0.0,1,60.221,564.76,0.0,0.1207,0.1207,medium,True
7.562,0,132.24,0.0,148.2,0.02,0.02,slow,False
2.6941,0,371.1815,171.0,230.6646,0.1377,0.1377,medium,True
6.0531,0,165.2036,425.44,138.6161,0.0666,0.0666,slow,True
19.8153,0,50.4661,543.2,17.2816,0.0707,0.0707,slow,True
0.0,1,197.818,389.6,0.0,0.1961,0.1961,fast,True
4.134,0,241.898,176.56,21.1074,0.1879,0.1879,fast,True
4.2488,0,235.363,188.2,217.7698,0.061,0.061,slow,True
0.0,1,130.0755,137.72,0.0,0.1327,0.1327,medium,True
5.6537,0,176.8747,323.68,39.8692,0.1355,0.1355,medium,True
7.0304,0,142.2402,113.2,100.81,0.0758,0.0758,slow,True
4.1937,0,238.4515,162.6,103.8983,0.134,0.134,medium,True
3.842,0,260.28,0.0,276.24,0.02,0.02,slow,False
