economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
3.8294,0,261.1346,215.04,117.814,0.1395,0.1395,medium,True
4.369,0,228.884,125.48,89.063,0.1373,0.1373,medium,True
3.9748,0,251.5872,148.44,114.1523,0.1358,0.1358,medium,True
3.7302,0,268.085,145.48,10.6692,0.2108,0.2108,fast,True
3.7808,0,264.4961,84.68,26.8455,0.1984,0.1984,fast,True
0.0,1,149.2777,132.72,0.0,0.1972,0.1972,fast,True
0.0,1,210.9507,474.64,0.0,0.2124,0.2124,fast,True
4.9825,0,200.7014,210.76,62.6129,0.1362,0.1362,medium,True
3.6292,0,275.5435,219.64,38.7026,0.1979,0.1979,fast,True
3.6868,0,271.24,0.0,287.2,0.02,0.02,slow,False
3.2792,0,304.948,178.72,162.9013,0.1387,0.1387,medium,True
4.2365,0,236.0417,214.32,232.2508,0.0523,0.0523,slow,True
4.5236,0,221.0643,428.76,84.17,0.1355,0.1355,medium,True
6.1713,0,162.04,0.0,178.0,0.02,0.02,slow,False
3.3152,0,301.6431,90.44,57.5721,0.2024,0.2024,fast,True
2.9704,0,336.6503,104.44,79.3887,0.2107,0.2107,fast,True
3.8776,0,257.8923,204.72,8.4937,0.2057,0.2057,fast,True
4.5935,0,217.6974,106.0,67.0611,0.1441,0.1441,medium,True
4.6649,0,214.3666,136.44,63.3863,0.1443,0.1443,medium,True
5.3407,0,187.24,0.0,203.2,0.02,0.02,slow,False
3.6521,0,273.8163,230.16,12.4008,0.2133,0.2133,fast,True
5.152,0,194.1004,187.52,41.4916,0.1453,0.1453,medium,True
7.9618,0,125.6,0.0,141.56,0.02,0.02,slow,False
2.3905,0,418.32,0.0,434.28,0.02,0.02,slow,False
0.0,1,195.2284,279.2,0.0,0.1823,0.1823,fast,True
4.5664,0,218.991,304.8,1.5187,0.1858,0.1858,fast,True
0.0,1,138.6936,399.92,0.0,0.1471,0.1471,medium,True
5.9893,0,166.9633,142.24,12.1595,0.1467,0.1467,medium,True
5.6419,0,177.2462,113.84,20.1291,0.1481,0.1481,medium,True
5.726,0,174.643,172.76,45.335,0.1307,0.1307,medium,True
0.0,1,113.8053,207.52,0.0,0.2055,0.2055,fast,True
0.0,1,183.4669,187.12,0.0,0.1651,0.1651,slow,True
4.8695,0,205.3614,401.28,78.4206,0.1293,0.1293,medium,True
6.6497,0,150.3833,143.96,127.4257,0.0643,0.0643,slow,True
5.34,0,187.2671,183.04,47.3699,0.1373,0.1373,medium,True
4.5747,0,218.5957,171.12,68.5891,0.1437,0.1437,medium,True
5.9134,0,169.1065,111.76,153.1004,0.06,0.06,slow,True
6.5346,0,153.0312,127.88,133.105,0.0624,0.0624,slow,True
6.1367,0,162.9543,181.68,31.4229,0.1321,0.1321,medium,True
5.8789,0,170.1008,153.6,14.3241,0.1473,0.1473,medium,True
0.0,1,200.8398,322.64,0.0,0.1985,0.1985,fast,True
6.086,0,164.3107,522.4,2.0558,0.1513,0.1513,medium,True
5.5185,0,181.2076,181.44,43.0905,0.1362,0.1362,medium,True
5.3614,0,186.52,547.08,170.7628,0.02,0.0651,slow,True
4.636,0,215.7041,213.6,190.1942,0.0659,0.0659,slow,True
3.8246,0,261.4681,94.72,15.1584,0.2038,0.2038,fast,True
4.7228,0,211.7388,132.12,79.0968,0.1328,0.1328,medium,True
3.4013,0,294.0072,169.6,48.2256,0.2035,0.2035,fast,True
5.8762,0,170.1778,148.68,143.0325,0.0669,0.0669,slow,True
4.5789,0,218.3923,109.16,33.6183,0.1654,0.1654,slow,True
