economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
7.0266,0,142.3163,214.08,122.773,0.0622,0.0622,slow,True
0.0,1,119.5799,214.32,0.0,0.1877,0.1877,fast,True
6.1146,0,163.5422,228.08,28.6943,0.1342,0.1342,medium,True
0.0,1,121.1603,173.16,0.0,0.1733,0.1733,fast,True
6.5599,0,152.4424,344.48,133.5644,0.0618,0.0618,slow,True
0.0,1,163.1151,190.8,0.0,0.1963,0.1963,fast,True
5.7107,0,175.109,157.2,38.8395,0.1351,0.1351,medium,True
6.1191,0,163.4237,127.4,17.4002,0.1412,0.1412,medium,True
4.9042,0,203.9063,432.72,58.4311,0.1408,0.1408,medium,True
6.3889,0,156.5216,362.4,123.0873,0.0709,0.0709,slow,True
0.0,1,155.8983,317.08,0.0,0.1831,0.1831,fast,True
1.6588,0,602.84,0.0,618.8,0.02,0.02,slow,False
4.8534,0,206.04,536.04,113.3023,0.02,0.1435,medium,True
5.2033,0,192.1867,476.48,172.6895,0.0621,0.0621,slow,True
6.2863,0,159.0768,287.16,145.0625,0.0587,0.0587,slow,True
4.2321,0,236.2912,259.04,23.8564,0.1827,0.1827,fast,True
6.7088,0,149.0585,107.12,104.444,0.0778,0.0778,slow,True
0.0,1,171.658,90.6,0.0,0.1903,0.1903,fast,True
6.3387,0,157.7613,270.2,24.6555,0.1331,0.1331,medium,True
3.6173,0,276.4505,191.84,35.6011,0.2004,0.2004,fast,True
2.7852,0,359.0389,335.72,141.8996,0.1856,0.1856,fast,True
4.0276,0,248.2842,412.52,57.5057,0.1691,0.1691,fast,True
6.4728,0,154.4921,519.36,151.103,0.0521,0.0521,slow,True
7.4052,0,135.04,0.0,151.0,0.02,0.02,slow,False
0.0,1,8.1336,178.12,0.0,0.2009,0.2009,fast,True
5.3286,0,187.6682,229.56,47.9321,0.1372,0.1372,medium,True
6.0685,0,164.7855,304.92,22.533,0.1388,0.1388,medium,True
6.434,0,155.4239,370.4,121.0051,0.0715,0.0715,slow,True
7.0665,0,141.5133,456.52,97.8472,0.0772,0.0772,slow,True
0.0,1,76.481,185.2,0.0,0.1888,0.1888,fast,True
4.6621,0,214.4941,448.12,72.037,0.1389,0.1389,medium,True
0.0,1,195.6804,142.88,0.0,0.2029,0.2029,fast,True
4.5715,0,218.745,231.36,174.8271,0.0774,0.0774,slow,True
4.7715,0,209.5784,283.8,42.9291,0.1541,0.1541,medium,True
5.7483,0,173.9658,291.0,140.8606,0.0706,0.0706,slow,True
0.0,1,188.0991,172.88,0.0,0.1978,0.1978,fast,True
0.0,1,0.0,279.2,0.0,0.0,0.2092,fast,True
3.2722,0,305.6054,93.24,82.9753,0.189,0.189,fast,True
3.0844,0,324.2164,242.48,55.5813,0.2178,0.2178,fast,True
6.9705,0,143.4615,332.68,129.135,0.0589,0.0589,slow,True
4.2618,0,234.6445,426.36,94.477,0.1375,0.1375,medium,True
3.3327,0,300.0614,257.56,147.3235,0.1454,0.1454,medium,True
0.0,1,149.7413,213.0,0.0,0.1828,0.1828,fast,True
4.2331,0,236.2322,113.96,67.362,0.1554,0.1554,medium,True
4.4194,0,226.2734,138.92,84.0334,0.1388,0.1388,medium,True
0.0,1,190.4694,114.24,0.0,0.1848,0.1848,fast,True
0.0,1,144.0552,99.04,0.0,0.1519,0.1519,medium,True
4.6497,0,215.0698,145.96,84.0892,0.1318,0.1318,medium,True
3.4539,0,289.5303,334.56,49.6313,0.1998,0.1998,fast,True
3.1179,0,320.7308,343.12,100.0793,0.1878,0.1878,fast,True
