economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
4.0431,0,247.3336,434.88,120.1552,0.1294,0.1294,medium,True
4.601,0,217.3423,90.8,186.0914,0.0695,0.0695,slow,True
3.4325,0,291.3293,256.24,71.2625,0.1874,0.1874,fast,True
2.8056,0,356.4238,160.28,90.5395,0.216,0.216,fast,True
3.492,0,286.3711,327.32,258.0322,0.0677,0.0677,slow,True
4.0393,0,247.5703,235.0,16.5025,0.1943,0.1943,fast,True
3.9874,0,250.7873,103.84,239.1866,0.0572,0.0572,slow,True
5.9457,0,168.1879,449.76,156.2951,0.0574,0.0574,slow,True
5.8017,0,172.3645,87.32,152.0016,0.0627,0.0627,slow,True
3.9279,0,254.5898,177.24,117.8869,0.1354,0.1354,medium,True
4.6308,0,215.9473,191.4,201.2166,0.0592,0.0592,slow,True
4.2575,0,234.8821,283.68,96.2367,0.1366,0.1366,medium,True
0.0,1,147.148,151.8,0.0,0.1455,0.1455,medium,True
5.8411,0,171.2,0.0,187.16,0.02,0.02,slow,False
7.8566,0,127.2813,388.48,99.4363,0.0674,0.0674,slow,True
6.5915,0,151.7095,169.52,126.5833,0.0657,0.0657,slow,True
5.1584,0,193.8593,262.8,158.3501,0.0721,0.0721,slow,True
3.5634,0,280.6335,157.88,27.3052,0.2082,0.2082,fast,True
4.4994,0,222.2537,215.4,86.3815,0.1348,0.1348,medium,True
4.9004,0,204.0638,373.52,61.6167,0.1389,0.1389,medium,True
5.158,0,193.8722,496.32,45.5358,0.1426,0.1426,medium,True
5.6066,0,178.36,0.0,194.32,0.02,0.02,slow,False
6.5531,0,152.6005,135.96,138.559,0.0587,0.0587,slow,True
4.3426,0,230.2752,209.0,115.2902,0.1218,0.1218,medium,True
0.0,1,207.584,119.32,0.0,0.1996,0.1996,fast,True
4.0116,0,249.2778,273.44,103.025,0.1413,0.1413,medium,True
0.0,1,225.1909,217.48,0.0,0.1923,0.1923,fast,True
5.9958,0,166.7837,110.36,152.5,0.0589,0.0589,slow,True
6.302,0,158.68,579.44,60.0285,0.02,0.1397,medium,True
0.0,1,218.5685,121.36,0.0,0.1991,0.1991,fast,True
4.9255,0,203.0265,496.48,172.5548,0.069,0.069,slow,True
4.8134,0,207.7549,438.12,173.4253,0.0714,0.0714,slow,True
5.7429,0,174.1288,87.04,154.8735,0.062,0.062,slow,True
0.0,1,253.3111,178.36,0.0,0.2112,0.2112,fast,True
5.952,0,168.0111,482.88,159.4254,0.0553,0.0553,slow,True
3.7709,0,265.1896,341.24,115.0298,0.1438,0.1438,medium,True
6.1308,0,163.1113,329.0,150.345,0.0579,0.0579,slow,True
6.9588,0,143.7023,97.44,133.0816,0.0566,0.0566,slow,True
8.0194,0,124.6983,228.32,77.1944,0.0796,0.0796,slow,True
3.6302,0,275.465,179.76,131.6505,0.1398,0.1398,medium,True
5.9818,0,167.1725,104.04,133.2862,0.0711,0.0711,slow,True
0.0,1,215.4267,180.0,0.0,0.2056,0.2056,fast,True
3.7336,0,267.8354,290.04,51.1937,0.1853,0.1853,fast,True
3.8164,0,262.0301,144.96,110.026,0.1449,0.1449,medium,True
0.0,1,197.7558,437.08,0.0,0.2047,0.2047,fast,True
3.5067,0,285.1646,254.24,65.234,0.1873,0.1873,fast,True
3.6498,0,273.99,118.52,58.7695,0.1844,0.1844,fast,True
4.3849,0,228.0531,130.6,106.83,0.1257,0.1257,medium,True
5.8714,0,170.316,87.16,148.178,0.0638,0.0638,slow,True
5.9823,0,167.16,0.0,183.12,0.02,0.02,slow,False
