economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
4.0078,0,249.5121,320.48,41.2017,0.1801,0.1801,fast,TRUE
5.0726,0,197.1385,93,45.4185,0.1447,0.1447,medium,TRUE
0,1,220.8272,353.36,0,0.1976,0.1976,fast,TRUE
4.0876,0,244.6452,295.32,201.0449,0.0772,0.0772,slow,TRUE
4.9574,0,201.72,0,217.68,0.02,0.02,slow,FALSE
7.1912,0,139.059,381.08,105.6723,0.0708,0.0708,slow,TRUE
0,1,216.2632,204.52,0,0.1944,0.1944,fast,TRUE
3.0429,0,328.6375,202.28,92.9741,0.1972,0.1972,fast,TRUE
8.8215,0,113.36,0,135.72,0.02,0.02,slow,FALSE
5.2725,0,189.6649,441.72,43.031,0.1416,0.1416,medium,TRUE
5.5802,0,179.2066,157.52,38.0023,0.1382,0.1382,medium,TRUE
0,1,99.0389,295.6,0,0.1763,0.1763,fast,TRUE
7.8601,0,127.2248,102.24,102.8228,0.0703,0.0703,slow,TRUE
3.4513,0,289.7498,87.64,60.8991,0.1929,0.1929,fast,TRUE
5.9838,0,167.1189,87.92,146.9166,0.0626,0.0626,slow,TRUE
4.5225,0,221.1172,162.32,18.8558,0.1763,0.1763,fast,TRUE
0,1,238.2071,205.8,0,0.2246,0.2246,fast,TRUE
3.8215,0,261.6753,347.4,10.3498,0.2069,0.2069,fast,TRUE
6.8474,0,146.04,0,162,0.02,0.02,slow,FALSE
14.7232,0,67.92,703.44,78.1592,0.02,0.0579,slow,TRUE
0,1,148.4455,531.68,0,0.1936,0.1936,fast,TRUE
6.0499,0,165.2914,484.96,8.2052,0.1481,0.1481,medium,TRUE
3.7136,0,269.2841,150.36,91.0296,0.1613,0.1613,slow,TRUE
5.3161,0,188.109,112.76,77.7086,0.1389,0.1389,medium,TRUE
0,1,106.2703,561.04,0,0.1923,0.1923,fast,TRUE
0,1,0,102.16,0,0,0.1347,medium,TRUE
8.1631,0,122.5024,128.28,73.1606,0.0808,0.0808,slow,TRUE
14.4878,0,69.0236,456.68,53.6916,0.0595,0.0595,slow,TRUE
0,1,127.7638,282.2,0,0.1352,0.1352,medium,TRUE
11.8836,0,84.1494,137.64,61.8361,0.0639,0.0639,slow,TRUE
11.5097,0,86.8833,328.68,61.3847,0.0659,0.0659,slow,TRUE
5.9091,0,169.2302,287.88,41.4876,0.1298,0.1298,medium,TRUE
0,1,191.0631,227.08,0,0.194,0.194,fast,TRUE
0,1,107.9178,459,0,0.1516,0.1516,medium,TRUE
0,1,129.4625,131.36,0,0.2123,0.2123,fast,TRUE
10.2041,0,98,0,113.96,0.02,0.02,slow,FALSE
0,1,158.2454,188.8,0,0.1939,0.1939,fast,TRUE
0,1,198.9582,112.96,0,0.1875,0.1875,fast,TRUE
4.6327,0,215.856,355.08,52.8301,0.1518,0.1518,medium,TRUE
9.3562,0,106.8805,233.76,91.9962,0.0593,0.0593,slow,TRUE
7.1972,0,138.9422,179.68,14.7458,0.1275,0.1275,medium,TRUE
0,1,237.1957,166.6,0,0.2138,0.2138,fast,TRUE
5.5665,0,179.6469,167.4,172.0445,0.0547,0.0547,slow,TRUE
0,1,125.0504,331.8,0,0.1363,0.1363,medium,TRUE
3.2047,0,312.0386,149.28,76.8567,0.1969,0.1969,fast,TRUE
0,1,198.6792,194.2,0,0.1989,0.1989,fast,TRUE
0,1,170.0063,373.84,0,0.1862,0.1862,fast,TRUE
0,1,186.541,373.28,0,0.1858,0.1858,fast,TRUE
4.3582,0,229.4524,182.68,203.156,0.0664,0.0664,slow,TRUE
7.1867,0,139.146,179.28,110.7278,0.0677,0.0677,slow,TRUE
