economic_score,fail_count,fid,boost_distance,final distance,before speed,after speed,threat-type,boost_flag
4.2073,0,237.6809,94.64,103.6553,0.1337,0.1337,medium,True
2.4969,0,400.5003,213.44,275.92,0.1278,0.1278,medium,True
4.3691,0,228.88,0.0,244.84,0.02,0.02,slow,False
2.7642,0,361.7744,176.2,351.8845,0.0561,0.0561,slow,True
3.5391,0,282.5617,100.4,151.3686,0.1319,0.1319,medium,True
8.1753,0,122.32,0.0,138.28,0.02,0.02,slow,False
12.5838,0,79.4671,211.04,53.3531,0.0663,0.0663,slow,True
7.1654,0,139.56,0.0,155.52,0.02,0.02,slow,False
10.6581,0,93.8257,584.8,73.9158,0.0624,0.0624,slow,True
7.8638,0,127.1652,86.64,92.3914,0.0717,0.0717,slow,True
3.2604,0,306.7062,141.96,46.7958,0.2123,0.2123,fast,True
8.1359,0,122.9128,447.52,92.462,0.069,0.069,slow,True
0.0,1,154.0288,502.96,0.0,0.1969,0.1969,fast,True
2.6793,0,373.2374,108.36,228.7183,0.1402,0.1402,medium,True
2.9231,0,342.1016,299.28,108.9968,0.1956,0.1956,fast,True
11.3189,0,88.3476,112.16,73.8677,0.059,0.059,slow,True
13.4547,0,74.3235,100.92,67.4381,0.0543,0.0543,slow,True
10.9478,0,91.3429,146.84,77.4428,0.0587,0.0587,slow,True
3.4801,0,287.3451,346.84,65.3897,0.1886,0.1886,fast,True
6.3439,0,157.632,196.48,25.3904,0.1326,0.1326,medium,True
0.0,1,131.0864,336.0,0.0,0.1382,0.1382,medium,True
3.8276,0,261.257,138.08,21.5924,0.1997,0.1997,fast,True
4.5038,0,222.0327,437.52,66.5679,0.1471,0.1471,medium,True
2.8079,0,356.1425,115.28,124.4959,0.1947,0.1947,fast,True
6.1065,0,163.76,0.0,179.72,0.02,0.02,slow,False
7.2762,0,137.4339,98.72,115.1309,0.0639,0.0639,slow,True
6.3356,0,157.8383,186.0,14.8709,0.1393,0.1393,medium,True
3.4287,0,291.6559,273.08,72.8846,0.1866,0.1866,fast,True
0.0,1,207.1206,123.04,0.0,0.1996,0.1996,fast,True
11.0909,0,90.1642,272.32,68.5338,0.0635,0.0635,slow,True
4.7892,0,208.8036,192.24,64.441,0.1401,0.1401,medium,True
0.0,1,196.7211,160.0,0.0,0.1929,0.1929,fast,True
3.238,0,308.8323,352.2,183.152,0.1285,0.1285,medium,True
5.7055,0,175.2706,168.08,145.191,0.0688,0.0688,slow,True
4.9101,0,203.6603,111.12,51.713,0.1449,0.1449,medium,True
0.0,1,94.119,98.32,0.0,0.1416,0.1416,medium,True
0.0,1,126.6615,386.88,0.0,0.1462,0.1462,medium,True
2.7763,0,360.1933,104.08,228.279,0.1324,0.1324,medium,True
2.6401,0,378.7748,157.4,226.1234,0.1453,0.1453,medium,True
2.8516,0,350.6864,172.44,92.4948,0.2112,0.2112,fast,True
4.7618,0,210.0056,481.88,174.8877,0.0719,0.0719,slow,True
4.4494,0,224.7498,149.52,90.7073,0.1337,0.1337,medium,True
0.0,1,208.642,177.0,0.0,0.2003,0.2003,fast,True
4.3917,0,227.703,260.6,185.7212,0.0762,0.0762,slow,True
2.8934,0,345.6125,194.68,194.8894,0.1441,0.1441,medium,True
2.8507,0,350.7885,281.0,101.5889,0.2056,0.2056,fast,True
4.4009,0,227.2254,143.12,104.2532,0.1268,0.1268,medium,True
0.0,1,164.3861,98.2,0.0,0.1953,0.1953,fast,True
3.0041,0,332.8815,197.52,107.5019,0.1907,0.1907,fast,True
4.5927,0,217.7354,145.72,47.3722,0.1564,0.1564,medium,True
